indicator_id,region,metric_kind,scope,key,old_value,old_at,new_value,new_at,abs_diff,rel_diff_pct
ember-demand-jp,jp,demand,calendar_year_mean,2019,77.725,n=12,77.725,n=12,0.0,0.0
ember-demand-jp,jp,demand,calendar_year_mean,2020,75.2958,n=12,75.2958,n=12,0.0,0.0
ember-demand-jp,jp,demand,calendar_year_mean,2021,77.245,n=12,77.245,n=12,0.0,0.0
ember-demand-jp,jp,demand,calendar_year_mean,2022,77.6283,n=12,77.6283,n=12,0.0,0.0
ember-demand-jp,jp,demand,calendar_year_mean,2023,75.9492,n=12,75.9492,n=12,0.0,0.0
ember-demand-jp,jp,demand,calendar_year_mean,2024,76.1358,n=12,76.1358,n=12,0.0,0.0
ember-demand-jp,jp,demand,calendar_year_mean,2025,77.2883,n=12,77.2883,n=12,0.0,0.0
ember-demand-jp,jp,demand,period_min,all,62.36,2020-05,62.36,2020-05,0.0,0.0
ember-demand-jp,jp,demand,period_max,all,92.47,2022-01,92.47,2022-01,0.0,0.0
ember-demand-us,us,demand,latest_common_month,2026-06,414.19,,413.085,,1.105,0.267
ember-demand-us,us,demand,calendar_year_mean,2015,345.8958,n=12,345.8883,n=12,0.0075,0.002
ember-demand-us,us,demand,calendar_year_mean,2016,346.1717,n=12,346.1715,n=12,0.0002,0.0
ember-demand-us,us,demand,calendar_year_mean,2017,342.3875,n=12,342.3854,n=12,0.0021,0.001
ember-demand-us,us,demand,calendar_year_mean,2018,353.8358,n=12,353.8348,n=12,0.001,0.0
ember-demand-us,us,demand,calendar_year_mean,2019,349.7858,n=12,349.7865,n=12,0.0007,0.0
ember-demand-us,us,demand,calendar_year_mean,2020,340.8708,n=12,340.8744,n=12,0.0036,0.001
ember-demand-us,us,demand,calendar_year_mean,2021,349.4117,n=12,349.4109,n=12,0.0007,0.0
ember-demand-us,us,demand,calendar_year_mean,2022,360.6758,n=12,360.6758,n=12,0.0001,0.0
ember-demand-us,us,demand,calendar_year_mean,2023,356.0708,n=12,356.0687,n=12,0.0021,0.001
ember-demand-us,us,demand,calendar_year_mean,2024,367.0692,n=12,367.0712,n=12,0.0021,0.001
ember-demand-us,us,demand,calendar_year_mean,2025,377.9867,n=12,377.6791,n=12,0.3076,0.081
ember-demand-us,us,demand,period_min,all,279.34,2001-11,279.343,2001-11,0.003,0.001
ember-demand-us,us,demand,period_max,all,456.65,2025-07,471.64,2026-07,14.99,3.283
ember-generation-cn,cn,generation,latest_common_month,2026-06,,,908.362,,,
ember-generation-cn,cn,generation,calendar_year_mean,2015,468.1375,n=12,468.1375,n=12,0.0,0.0
